State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
MA,103,415,no,no,41,339.58,128,57.73,308.59,91,26.23,237.45,167,10.69,19.08,12,5.15,2,yes
OH,180,214,yes,yes,31,326.31,55,55.47,138.13,107,11.74,255.53,199,11.5,17.64,17,4.76,1,no
RI,93,646,no,no,38,259.56,121,44.13,240.3,184,20.43,74.52,157,3.35,11.27,19,3.04,5,no
IN,15,404,no,no,44,97.8,105,16.63,145.81,151,12.39,27.57,80,1.24,12.94,16,3.49,6,no
IN,107,312,yes,yes,45,46.08,129,7.83,226.98,107,19.29,96.92,192,4.36,17.39,14,4.7,8,no
MO,72,312,yes,yes,35,299.15,80,50.86,108.3,32,9.21,87.11,57,3.92,15.52,13,4.19,4,no
MA,189,512,no,no,39,57.86,157,9.84,212.17,147,18.03,82.09,47,3.69,12.6,15,3.4,3,yes
WY,21,305,no,no,36,298.99,119,50.83,183.32,187,15.58,67.46,48,3.04,19.65,3,5.31,0,no
OK,103,407,no,yes,32,171.77,198,29.2,8.57,175,0.73,201.16,88,9.05,13.71,16,3.7,5,yes
HI,122,212,yes,yes,35,142.29,51,24.19,276.75,63,23.52,114.84,129,5.17,19.51,19,5.27,7,yes
VA,211,718,yes,yes,2,316.12,90,53.74,4.16,29,0.35,287.12,13,12.92,1.15,13,0.31,3,no
NJ,215,206,yes,no,8,211.35,136,35.93,102.6,107,8.72,64.38,102,2.9,2.78,17,0.75,0,no
OH,75,415,yes,yes,7,201.81,21,34.31,2.07,72,0.18,162.62,120,7.32,9.03,5,2.44,4,yes
OK,203,305,yes,no,32,195.57,33,33.25,131.67,108,11.19,4.78,144,0.22,7.7,7,2.08,9,yes
WV,88,718,no,no,5,129.91,109,22.08,22.11,144,1.88,168.59,122,7.59,15.65,8,4.23,4,yes
IN,117,718,no,no,40,274.98,48,46.75,319.73,99,27.18,19.54,158,0.88,3.21,0,0.87,1,no
CO,100,202,no,no,38,88.48,128,15.04,145.49,13,12.37,342.2,137,15.4,19.52,12,5.27,5,yes
NH,104,718,no,yes,3,328.61,72,55.86,160.82,18,13.67,276.71,69,12.45,6.3,2,1.7,9,no
OH,152,404,no,yes,12,312.89,83,53.19,122.45,70,10.41,171.54,102,7.72,8.58,5,2.32,8,no
WY,131,202,no,no,48,118.12,52,20.08,219.63,58,18.67,30.31,101,1.36,5.49,16,1.48,5,no
WV,150,619,yes,yes,1,255.31,99,43.4,274.54,194,23.34,207.36,164,9.33,11.59,7,3.13,7,no
WY,53,702,no,no,4,200.63,123,34.11,226.85,96,19.28,265.57,63,11.95,1.17,5,0.32,9,yes
VA,2,718,no,yes,43,118.18,167,20.09,261.87,43,22.26,66.75,157,3.0,2.99,15,0.81,2,yes
IN,88,512,no,no,26,345.98,44,58.82,317.09,159,26.95,198.87,161,8.95,14.92,0,4.03,9,no
TX,236,305,yes,no,31,8.83,195,1.5,302.24,110,25.69,284.97,17,12.82,3.73,9,1.01,1,yes
HI,158,206,yes,yes,20,88.43,136,15.03,235.92,10,20.05,268.89,62,12.1,4.71,17,1.27,3,no
RI,38,619,no,no,7,182.03,104,30.95,75.12,105,6.39,281.05,48,12.65,15.86,13,4.28,8,yes
OH,130,503,yes,no,37,182.68,149,31.06,223.2,1,18.97,307.76,55,13.85,1.87,4,0.5,8,yes
LA,192,510,yes,yes,7,206.13,145,35.04,177.13,124,15.06,328.19,90,14.77,8.75,16,2.36,2,no
VA,188,510,yes,no,49,263.09,105,44.73,251.03,195,21.34,141.93,57,6.39,0.46,13,0.12,0,no
MT,21,619,yes,no,2,218.22,42,37.1,291.53,144,24.78,199.07,154,8.96,6.94,17,1.87,0,yes
RI,161,407,no,no,43,210.1,166,35.72,259.95,93,22.1,276.73,54,12.45,13.98,3,3.77,3,yes
MO,204,305,yes,yes,2,18.73,133,3.18,296.3,167,25.19,244.0,84,10.98,1.8,19,0.49,3,no
WV,58,713,yes,no,21,131.79,47,22.4,22.35,173,1.9,348.43,18,15.68,17.77,1,4.8,9,no
MT,22,503,no,no,5,81.22,125,13.81,11.07,92,0.94,4.79,150,0.22,18.19,6,4.91,5,yes
MA,236,702,no,yes,1,92.88,6,15.79,90.48,3,7.69,124.3,102,5.59,2.1,6,0.57,4,no
OK,89,404,yes,yes,22,194.02,196,32.98,315.23,165,26.79,98.36,111,4.43,19.81,6,5.35,5,no
ID,49,512,no,yes,43,69.83,15,11.87,288.28,62,24.5,91.81,107,4.13,5.95,12,1.61,9,yes
MA,219,408,no,yes,1,102.88,128,17.49,238.95,28,20.31,77.89,46,3.51,1.68,18,0.45,6,no
NY,59,510,yes,no,37,82.98,114,14.11,245.27,18,20.85,248.19,106,11.17,0.1,5,0.03,6,yes
NY,170,503,yes,yes,16,331.98,36,56.44,254.33,90,21.62,29.67,193,1.34,8.17,19,2.21,9,no
NH,220,713,yes,no,34,330.63,164,56.21,329.91,28,28.04,259.56,178,11.68,12.6,16,3.4,9,yes
RI,188,510,no,no,33,213.48,124,36.29,291.27,162,24.76,242.7,83,10.92,6.64,17,1.79,8,no
NJ,208,214,no,yes,22,323.58,80,55.01,218.19,115,18.55,87.78,155,3.95,16.73,0,4.52,5,no
TX,15,619,yes,no,29,275.03,191,46.76,233.0,69,19.8,88.49,127,3.98,14.33,12,3.87,7,yes
WY,190,917,no,yes,7,206.48,61,35.1,74.81,122,6.36,220.1,184,9.9,7.0,18,1.89,1,no
MA,190,206,no,no,21,2.25,71,0.38,230.06,22,19.56,266.76,57,12.0,14.69,15,3.97,7,yes
ID,175,917,no,yes,43,270.38,188,45.96,148.64,45,12.63,306.77,142,13.8,18.81,9,5.08,8,yes
OK,190,702,yes,yes,35,245.87,124,41.8,53.54,171,4.55,298.25,143,13.42,1.86,12,0.5,3,no
WY,51,305,yes,yes,4,215.34,160,36.61,282.24,175,23.99,337.71,96,15.2,6.12,9,1.65,4,yes
IA,108,404,no,yes,12,266.15,65,45.25,178.59,179,15.18,203.48,46,9.16,9.27,13,2.5,4,no
NH,55,312,no,yes,28,179.52,29,30.52,342.1,7,29.08,318.03,190,14.31,9.96,8,2.69,1,no
NY,244,404,no,yes,30,246.43,19,41.89,98.59,182,8.38,282.98,139,12.73,10.84,10,2.93,4,no
HI,64,214,yes,no,46,327.31,187,55.64,168.23,65,14.3,313.13,102,14.09,6.01,2,1.62,8,no
WV,249,512,yes,yes,15,131.53,81,22.36,156.8,167,13.33,4.07,170,0.18,13.35,7,3.6,3,yes
OK,131,718,yes,yes,41,247.84,106,42.13,42.27,158,3.59,338.07,83,15.21,12.9,11,3.48,9,yes
NJ,229,512,no,no,29,166.49,151,28.3,149.14,175,12.68,165.74,156,7.46,11.56,2,3.12,2,yes
IN,51,702,no,no,15,236.04,131,40.13,100.64,99,8.55,279.36,48,12.57,2.28,6,0.62,6,yes
IA,135,404,no,no,11,267.01,36,45.39,56.11,60,4.77,44.52,130,2.0,9.54,13,2.58,7,no
OK,21,415,no,yes,16,15.91,131,2.7,98.75,111,8.39,138.58,111,6.24,7.12,6,1.92,9,yes
IN,73,415,yes,no,15,226.31,76,38.47,81.64,51,6.94,95.01,196,4.28,9.82,6,2.65,5,yes
MA,167,212,yes,no,11,79.36,88,13.49,256.93,165,21.84,102.08,59,4.59,18.44,13,4.98,5,no
ID,18,503,no,yes,7,234.51,145,39.87,10.77,35,0.92,43.14,65,1.94,9.61,11,2.59,4,no
RI,132,408,yes,yes,19,163.92,87,27.87,216.11,111,18.37,282.02,86,12.69,0.28,0,0.08,5,no
TX,89,212,no,no,2,270.74,193,46.03,266.23,86,22.63,3.23,125,0.15,8.78,4,2.37,8,no
NY,60,646,no,yes,15,43.19,175,7.34,168.25,182,14.3,109.38,25,4.92,16.41,10,4.43,1,no
LA,14,503,no,no,29,219.21,32,37.27,326.05,84,27.71,61.04,70,2.75,15.6,0,4.21,9,no
NY,242,503,no,yes,44,97.46,57,16.57,247.76,12,21.06,206.16,73,9.28,10.27,12,2.77,2,yes
NY,9,408,yes,yes,22,298.54,27,50.75,261.77,164,22.25,88.99,196,4.0,5.0,16,1.35,0,no
WV,90,206,no,no,27,324.93,34,55.24,68.93,46,5.86,90.65,46,4.08,9.3,2,2.51,3,no
RI,53,917,no,no,39,348.74,124,59.29,272.05,89,23.12,170.92,75,7.69,11.27,9,3.04,1,no
OK,130,718,yes,no,4,278.6,137,47.36,291.23,198,24.75,228.44,95,10.28,20.0,18,5.4,5,no
NH,84,312,yes,no,19,263.81,64,44.85,126.44,21,10.75,42.46,169,1.91,12.88,6,3.48,0,no
LA,92,646,no,yes,39,75.43,41,12.82,74.68,166,6.35,61.43,30,2.76,13.89,19,3.75,7,yes
WY,111,305,no,yes,43,117.6,84,19.99,134.77,57,11.46,86.51,21,3.89,9.83,2,2.65,9,no
IN,188,510,yes,no,0,162.99,136,27.71,258.86,29,22.0,340.81,16,15.34,7.09,11,1.91,5,no
