Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,3.8,3.968,3.643,3.857,3.857,16316611
2010-06-30,3.84,3.931,3.659,3.8,3.8,27564808
2010-07-01,3.831,4.003,3.755,3.797,3.797,9347234
2010-07-02,3.882,3.935,3.754,3.931,3.931,69730212
2010-07-05,4.003,4.167,3.919,4.012,4.012,64482926
2010-07-06,3.986,4.161,3.815,3.852,3.852,26689083
2010-07-07,3.969,4.038,3.928,3.982,3.982,50811585
2010-07-08,4.097,4.208,3.963,4.177,4.177,95758082
2010-07-09,4.162,4.231,4.064,4.212,4.212,1074745
2010-07-12,4.125,4.283,4.031,4.034,4.034,29786027
2010-07-13,4.171,4.302,4.022,4.27,4.27,53104260
2010-07-14,4.135,4.281,3.953,4.042,4.042,36663305
2010-07-15,4.098,4.171,3.957,3.965,3.965,7400334
2010-07-16,4.12,4.196,3.938,4.157,4.157,37215309
2010-07-19,3.965,4.011,3.883,3.994,3.994,80841837
2010-07-20,3.83,3.918,3.712,3.835,3.835,97108502
2010-07-21,3.789,3.912,3.683,3.815,3.815,82466252
2010-07-22,3.714,3.879,3.675,3.841,3.841,71072285
2010-07-23,3.739,3.876,3.618,3.821,3.821,27836903
2010-07-26,3.673,3.774,3.539,3.748,3.748,42905607
2010-07-27,3.571,3.743,3.451,3.612,3.612,66399293
2010-07-28,3.678,3.821,3.533,3.812,3.812,5127901
2010-07-29,3.663,3.836,3.543,3.835,3.835,48127888
2010-07-30,3.67,3.784,3.624,3.643,3.643,95736098
2010-08-02,3.567,3.64,3.515,3.621,3.621,40131072
2010-08-03,3.53,3.573,3.41,3.491,3.491,74538800
2010-08-04,3.539,3.677,3.465,3.547,3.547,73224825
2010-08-05,3.46,3.511,3.414,3.473,3.473,49621527
2010-08-06,3.487,3.564,3.392,3.402,3.402,29977967
2010-08-09,3.447,3.555,3.336,3.447,3.447,75206512
2010-08-10,3.429,3.541,3.35,3.516,3.516,84379544
2010-08-11,3.389,3.504,3.257,3.31,3.31,81436865
2010-08-12,3.517,3.576,3.391,3.47,3.47,65884440
2010-08-13,3.517,3.606,3.435,3.596,3.596,75872166
2010-08-16,3.445,3.564,3.307,3.417,3.417,1192888
2010-08-17,3.503,3.674,3.377,3.483,3.483,14370336
2010-08-18,3.419,3.553,3.298,3.41,3.41,91987664
2010-08-19,3.435,3.596,3.325,3.466,3.466,63319482
2010-08-20,3.302,3.436,3.267,3.374,3.374,20108254
2010-08-23,3.216,3.324,3.094,3.278,3.278,15516617
2010-08-24,3.231,3.288,3.15,3.212,3.212,33579397
2010-08-25,3.28,3.4,3.124,3.35,3.35,37752998
2010-08-26,3.293,3.408,3.152,3.289,3.289,51098904
2010-08-27,3.287,3.399,3.177,3.252,3.252,23400932
2010-08-30,3.269,3.366,3.203,3.31,3.31,80689279
2010-08-31,3.174,3.273,3.116,3.229,3.229,51611357
2010-09-01,3.13,3.203,3.056,3.138,3.138,77449809
2010-09-02,3.102,3.197,3.012,3.022,3.022,17112343
2010-09-03,3.169,3.226,3.1,3.121,3.121,50033022
2010-09-06,3.193,3.328,3.095,3.161,3.161,36813936
2010-09-07,3.082,3.136,3.031,3.061,3.061,42465399
2010-09-08,3.103,3.145,2.951,3.082,3.082,3796890
2010-09-09,3.081,3.166,3.037,3.039,3.039,69026522
2010-09-10,3.041,3.151,2.897,3.089,3.089,61651062
2010-09-13,3.08,3.165,2.937,2.997,2.997,46721106
2010-09-14,3.145,3.211,3.047,3.098,3.098,33907750
2010-09-15,3.205,3.309,3.08,3.201,3.201,61430486
2010-09-16,3.153,3.228,3.066,3.101,3.101,80963494
2010-09-17,3.135,3.283,3.025,3.253,3.253,19529899
2010-09-20,3.157,3.305,3.082,3.101,3.101,69486190
2010-09-21,3.22,3.317,3.149,3.224,3.224,40903082
2010-09-22,3.191,3.265,3.085,3.238,3.238,91203618
2010-09-23,3.181,3.307,3.086,3.222,3.222,60951246
